@relation Wilt

@attribute class {n,w}
@attribute GLCM_pan numeric
@attribute Mean_Green numeric
@attribute Mean_Red numeric
@attribute Mean_NIR numeric
@attribute SD_pan numeric

@data
n,109.828571,183.7,82.95,251.75,16.079412
n,130.284483,212.637931,96.896552,482.396552,21.210295
n,131.386555,185.466667,85.466667,419.666667,13.339998
n,141.345098,180.875,81.5,348.0625,18.213577
w,121.383408,218.357143,112.017857,426.607143,19.083196
n,122.757576,205.96,86.76,407.68,17.82358
w,124.010204,215.594595,117.027027,477.297297,24.574628
w,125.608407,209.649123,121.22807,443.280702,25.757314
n,107.745833,204.133333,83.466667,479.866667,22.956965
n,140.203922,188.59375,84.4375,457.25,30.193759
n,122.792453,199.740741,108.481482,384.740741,23.018906
n,117.427907,191.185185,86.555556,429.703704,24.765567
n,130.966357,256.352113,166.683099,506.964789,18.462242
n,132.678821,259.126984,170.34127,519.912698,23.550458
n,132.678821,259.126984,170.34127,519.912698,23.550458
n,133.752976,179.714286,85.238095,387.809524,19.732221
w,116.948953,214.5625,127.75,390.208333,23.070506
w,116.948953,214.5625,127.75,390.208333,23.070506
n,136.441799,214.041667,115.25,579.416667,17.010413
w,125.074803,254.8125,147.5,388.25,20.224424
n,144.107807,186.941177,77.352941,468.411765,20.468391
w,121.094203,219.423077,122.423077,536,30.714471
n,136.566667,196.388889,86.666667,364.666667,24.784379
n,115.891228,220.333333,103.472222,588.361111,25.091484
w,132.506944,206.37037,109.259259,532.962963,28.781424
n,121.064669,189.125,92.575,289.975,14.142047
w,138.392265,200.235294,103.294118,431.411765,22.165312
n,124.08,219.159091,98.25,638.068182,22.000223
n,139.506749,231.156863,105.823529,780.784314,27.496055
n,99.159722,241.222222,116.777778,644.222222,34.628184
n,142.886364,196,86,408,23.265624
n,115.414586,248.385417,119.71875,695.166667,16.55538
n,126.450893,170.714286,70.214286,251.928571,27.89448
n,116.184211,185.28,77.58,414.18,37.868874
n,127.301042,202.566667,112.233333,390.6,19.314495
w,131.255385,188.843374,95.216867,246.457831,12.99957
n,120.915179,194.285714,86,364.857143,28.254402
n,132.047033,173.087719,72.157895,230.368421,10.499439
n,113.429648,178.52,78.96,209.48,8.504493
w,139.430556,200.555556,111.111111,484.222222,24.513035
w,126.820513,203.244898,107.102041,435.408163,19.460059
w,128.120766,196.302326,111.395349,345.186047,17.701968
n,141.824219,220.875,101.8125,784.5,36.686968
n,131.610544,208.756757,93.918919,596.405405,27.198322
n,132.02651,244.069767,123.232558,703.930233,23.601638
n,138.537618,204.225,103.675,343.4,27.873722
w,131.845794,184.970588,91.426471,307.323529,15.186528
n,136.742543,190.6875,81.85,338.6,19.535988
n,113.225092,213.235294,106.294118,501.352941,16.60283
w,119.669291,200.5,104,328.25,14.752118
n,116.095078,185.053571,81.053571,344.625,19.464638
w,130.594059,188.842105,99.736842,314,15.054035
w,130.339841,211,110.815534,616.980583,22.958753
w,112.86755,207.368421,117.894737,544.157895,24.359951
n,129.10625,171.1,66.6,225.2,19.103926
n,134.904167,212.466667,92.4,633.266667,30.301742
n,115.400966,205.884615,89.576923,397.5,22.938334
n,113.96521,216.47973,100.256757,507.094595,25.830072
w,131.140625,206.6875,107.0625,561.1875,29.754989
n,139.014286,183.272727,78.772727,365.590909,15.501599
w,113.963542,195.055556,106.583333,303.722222,24.091582
n,122.791844,192.27027,78.756757,314.27027,19.133956
w,136.162162,189.571429,99.571429,331.571429,15.590421
w,118.155323,176.861111,87.555556,262.083333,21.753015
w,132.325,203.6,120.68,378.32,24.002867
n,142.864706,185.3125,77.5625,363.75,16.219081
n,112.67621,226.619565,103.26087,857.913044,29.830761
w,128.682432,222.392857,131.071429,448.071429,24.361437
n,137.873684,180.833333,75.0625,369.75,21.953302
n,108.134454,199.333333,107.066667,253,20.509077
n,129.24375,189.75,80.3,268.1,25.523078
w,117.878677,175.529412,83.882353,188.294118,17.015767
n,136.931985,174.647059,75.794118,268.235294,13.467891
n,144.080139,200.444444,87.777778,441.388889,23.023874
w,119.479821,191.928571,105.738095,331.952381,22.491785
n,132.934307,218.953488,96.418605,677.604651,22.596898
n,114.50625,219.6,96.7,910.8,20.978322
n,136.866242,223.898305,101.677966,711.118644,22.412523
w,136.355769,221.153846,117,672.153846,16.631047
n,125.828125,211.125,94.6875,508.1875,14.857132
w,133.403378,183.387097,94.924731,292.602151,18.932544
w,121.546875,178.5,82.5,374.5,20.086921
n,129.58413,168.424242,72.575758,184.909091,11.089843
w,132.063158,188.666667,97.2,262.8,12.130952
n,118.146474,176.371429,79.928571,219.257143,14.653167
w,124.628947,189.416667,99.041667,347.333333,24.653396
w,118.169283,238.625,156.875,529.410714,19.648571
w,123.247465,202.274194,110.483871,460.225807,18.712152
n,121.635417,186,83.833333,482.333333,15.12632
w,135.164894,203.805556,114.638889,391.111111,12.834025
w,129.924528,214.1,124.1,452.633333,14.297785
n,113.801932,202.692308,91.076923,577.230769,37.290162
w,138.397727,210.909091,114.363636,637.545455,24.684329
n,111.891775,227.068966,105.586207,602.344828,20.104424
n,109.867133,208.555556,94.388889,716.055556,26.682923
n,127.251572,209.15,92.975,496.425,18.7494
w,129.84802,204.122449,110.693878,418.244898,23.125304
n,113.66881,206.615385,97.769231,687.307692,32.386128
n,122.282967,195.826087,85,442.652174,29.585479
n,120.962121,225.793103,99.982759,731.051724,23.099459
w,131.276042,192.75,98.416667,431.833333,20.1391
n,133.754261,198.693182,86.147727,549.068182,29.508053
n,137.334127,187.253165,75.556962,299.481013,17.521365
n,118.730479,171.8,74.2,231.6,13.605058
w,127,179.4,82.6,245.88,13.433927
n,141.56067,178.033333,72.6,227.8,18.808066
